"";"PROBEID";"ENTREZID";"SYMBOL";"logFC";"AveExpr";"t";"P.Value";"adj.P.Val";"B"
"22";"10585484";"110835";"Chrna5";4,15947657138983;7,35673793369559;25,3200560366993;1,00380995646267e-10;2,30009363205833e-08;15,2555895067747
"23";"10560919";"232975";"Atp1a3";5,08134784819143;9,02485430237306;25,1124845830159;1,09264845554447e-10;2,39480037582595e-08;15,1755755837635
"24";"10363082";"14728";"Lilrb4a";-3,96086343742551;7,76193692837063;-24,2900840375336;1,53942329249289e-10;3,23343034060694e-08;14,8503586910408
"25";"10563597";"20210";"Saa3";3,45161149442536;11,2652164058833;23,9488597592203;1,7806028974476e-10;3,59040768241335e-08;14,7114472504819
"26";"10446965";"240168";"Rasgrp3";-3,58754188653486;6,95461918262285;-23,8438517048069;1,86292056280478e-10;3,61191636811495e-08;14,6682148222247
"27";"10569370";"21823";"Th";5,92471584243012;8,96414503994855;23,467780848668;2,19370649302792e-10;4,09573127087176e-08;14,5114768360472
"28";"10476633";"18549";"Pcsk2";4,91102252051306;8,84636010309269;23,3819911530383;2,27785139964612e-10;4,10094603772002e-08;14,4752978312493
"29";"10547657";"12267";"C3ar1";-5,01048925397649;8,95791199698526;-22,9499140361124;2,75896435834647e-10;4,79584114842227e-08;14,2906351528847
"30";"10573979";"14681";"Gnao1";3,59597742854299;9,91300764843511;22,6950275120925;3,09421353289644e-10;5,19931013977699e-08;14,1797464334892
"31";"10602896";"237175";"Adgrg2";-3,77562265098207;8,22448493451092;-22,6065609244428;3,22079077110705e-10;5,23742137972601e-08;14,1409130050984
"32";"10606835";"12069";"Bex2";5,32944055424503;8,94956226565651;22,3966870967529;3,54433175473328e-10;5,5371962668206e-08;14,0480629918369
"33";"10505489";"18491";"Pappa";-3,40796136580029;8,34918927100599;-22,3477228302139;3,62482596320333e-10;5,5371962668206e-08;14,026252985495
"34";"10356177";"227325";"Dner";3,77979113141046;9,50975422643966;22,1833333804701;3,91004376895123e-10;5,7972148939068e-08;13,9526158937724
"35";"10517517";"12259";"C1qa";-3,24292585982331;7,86401853844023;-22,0715127701978;4,11804668899595e-10;5,93116381692246e-08;13,9021592564209
"36";"10377938";"13808";"Eno3";4,12002429887169;10,1724928576803;21,9964421518389;4,26446626832676e-10;5,94755358988938e-08;13,8681168002217
"37";"10606868";"19716";"Bex1";6,25711538856722;7,82975845226098;21,9463190801438;4,36539343038895e-10;5,94755358988938e-08;13,8453115426953
"38";"10431625";"54526";"Syt10";4,48212822424665;7,86184417215387;21,7834340936572;4,71184256760939e-10;6,25063115350498e-08;13,7707787574763
"39";"10558400";"100043254";"Nps";3,53857500124706;6,96916916142501;21,6674868258022;4,9767511560487e-10;6,43276989170295e-08;13,7173264672438
"40";"10408359";"22360";"Nrsn1";4,1799200252673;7,66569446270871;21,3704750505037;5,73268977437826e-10;7,2246222881602e-08;13,5788716520566
"41";"10494271";"13040";"Ctss";-4,27516000136437;8,93621085634069;-21,2535331774823;6,06405516844943e-10;7,28419098566224e-08;13,5237450747381
"42";"10412066";"67295";"Rab3c";4,93779256406484;7,12849128930773;21,2518568300359;6,06895499698104e-10;7,28419098566224e-08;13,5229522949331
